type,fscore,precision,recall,accuracy,meanwinnings,model,iteration,iterationnum,rows,cols,kfold_splits
C: Cross-Validation,0.7905371055404594,0.6698333730478223,0.9653829289280781,0.6575053009468226,0.0,SVC,"B: Fill NAs by KMeans, Weight Class",1,4368,160,10
A: Train,0.83302826926988,0.7540500736377025,0.9304861426624261,0.7493894993894994,0.0,Voting Classifier,"B: Fill NAs by KMeans, Weight Class",1,4368,160,10
B: Test,0.7821363910681954,0.6967741935483871,0.8913342503438789,0.6694139194139194,0.0,Voting Classifier,"B: Fill NAs by KMeans, Weight Class",1,4368,160,10
C: Cross-Validation,0.7812856089962887,0.6989627506900632,0.8864938167451208,0.6678148552474125,0.0,Voting Classifier,"B: Fill NAs by KMeans, Weight Class",1,4368,160,10
A: Train,0.7935509241053874,0.6577574967405476,1.0,0.6577574967405476,0.036734914397738364,Predict Red,C: Add Odds,2,4091,161,10
B: Test,0.8021077283372365,0.6695992179863147,1.0,0.6695992179863147,0.058760109561437394,Predict Red,C: Add Odds,2,4091,161,10
C: Cross-Validation,0.7955841208853409,0.6607167988550302,1.0,0.6607167988550302,0.04224063257624153,Predict Red,C: Add Odds,2,4091,161,10
A: Train,0.6941634241245136,0.7283614589003811,0.6630327056491576,0.6157105606258149,-0.12824648646785497,Predict Higher Odds,C: Add Odds,2,4091,161,10
B: Test,0.6829652996845426,0.7427101200686106,0.6321167883211679,0.6070381231671554,-0.1361712194206935,Predict Higher Odds,C: Add Odds,2,4091,161,10
C: Cross-Validation,0.6911471319336442,0.7319392866820302,0.6552235227510292,0.6135404615659847,-0.13023161558829188,Predict Higher Odds,C: Add Odds,2,4091,161,10
A: Train,0.7966586062870961,0.7159225602528645,0.8979187314172448,0.6985006518904824,0.06237634057976886,Logistic Regression,C: Add Odds,2,4091,161,10
B: Test,0.8088139987038238,0.7272727272727273,0.910948905109489,0.7116324535679375,0.09110690501722478,Logistic Regression,C: Add Odds,2,4091,161,10
C: Cross-Validation,0.7866977947689704,0.7077833043121899,0.8855240369941664,0.6829572425308605,0.03508282954704361,Logistic Regression,C: Add Odds,2,4091,161,10
A: Train,0.8098102730217491,0.7595486111111112,0.867195242814668,0.7320730117340287,0.14422016549098862,ADA Booster,C: Add Odds,2,4091,161,10
B: Test,0.7711340206185567,0.7285714285714285,0.8189781021897811,0.6744868035190615,0.03144862423220203,ADA Booster,C: Add Odds,2,4091,161,10
C: Cross-Validation,0.7617985212706081,0.7133451149614128,0.8175824995463679,0.6629125171447314,0.010308468303668045,ADA Booster,C: Add Odds,2,4091,161,10
A: Train,0.8412621359223301,0.8244529019980971,0.8587710604558969,0.7868318122555411,0.3044930101933694,Decision Tree,C: Add Odds,2,4091,161,10
B: Test,0.7292263610315185,0.7158931082981715,0.743065693430657,0.6304985337243402,-0.002358588891580176,Decision Tree,C: Add Odds,2,4091,161,10
C: Cross-Validation,0.7214754675257712,0.703994729773284,0.7411678873782531,0.6220967261017353,-0.03728869746851948,Decision Tree,C: Add Odds,2,4091,161,10
A: Train,0.7935509241053874,0.6577574967405476,1.0,0.6577574967405476,0.036734914397738364,Random Forest,C: Add Odds,2,4091,161,10
B: Test,0.8021077283372365,0.6695992179863147,1.0,0.6695992179863147,0.058760109561437394,Random Forest,C: Add Odds,2,4091,161,10
C: Cross-Validation,0.7955780136341228,0.6607209732244022,1.0,0.6607209732244022,0.04224688814058801,Random Forest,C: Add Odds,2,4091,161,10
A: Train,0.7959535083943177,0.7035768645357686,0.9162537165510406,0.6910039113428944,0.06918832016741287,SVC,C: Add Odds,2,4091,161,10
B: Test,0.800256904303147,0.7144495412844036,0.9094890510948905,0.6959921798631477,0.07727911159240086,SVC,C: Add Odds,2,4091,161,10
C: Cross-Validation,0.7848828068746266,0.689575331236378,0.9118632294245584,0.670246884131433,0.022548479900489218,SVC,C: Add Odds,2,4091,161,10
A: Train,0.8281601439496176,0.7582372322899505,0.9122893954410307,0.7509778357235984,0.17345088762142538,Voting Classifier,C: Add Odds,2,4091,161,10
B: Test,0.7899271040424122,0.7233009708737864,0.8700729927007299,0.6901270772238515,0.0548635945089051,Voting Classifier,C: Add Odds,2,4091,161,10
C: Cross-Validation,0.7768606303694593,0.7099338303524197,0.8583352068047658,0.6744069413799273,0.018683770836050335,Voting Classifier,C: Add Odds,2,4091,161,10
A: Train,0.7970986081160556,0.6626466753585397,1.0,0.6626466753585397,0.03973215951078973,Predict Red,D: Grid Seach Param. Tuning,3,4091,161,10
B: Test,0.7914943886591849,0.6549364613880743,1.0,0.6549364613880743,0.04977130408065382,Predict Red,D: Grid Seach Param. Tuning,3,4091,161,10
C: Cross-Validation,0.7955842278162899,0.6607203768859204,1.0,0.6607203768859204,0.04223545379762354,Predict Red,D: Grid Seach Param. Tuning,3,4091,161,10
A: Train,0.6912873862158647,0.7334437086092715,0.6537137235612396,0.613102998696219,-0.13257404281634627,Predict Higher Odds,D: Grid Seach Param. Tuning,3,4091,161,10
